,claim,budget_degrees,budget_relevance,budget_costs
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Jennifer Garner,Ben Affleck /film/director/film The Town,1,0.5008100264138391,2.718281828459045
Ben Affleck /film/actor/film./film/performance/film Dogma,Ben Affleck /film/director/film The Town,4,0.5010219798161161,54.598150033144236
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Liv Tyler,Ben Affleck /film/director/film The Town,1,0.5015846437803765,2.718281828459045
Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love,Ben Affleck /film/director/film The Town,4,0.501825682155793,54.598150033144236
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Grant Heslov,Ben Affleck /film/director/film The Town,58,0.5019169951922376,1.545538935590104e+25
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Grant Heslov,Ben Affleck /film/director/film The Town,1,0.5019622940405285,2.718281828459045
Ben Affleck /base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency United States dollar,Ben Affleck /film/director/film The Town,36,0.5021732908711483,4311231547115195.0
Ben Affleck /film/actor/film./film/performance/film Gigli,Ben Affleck /film/director/film The Town,4,0.5029172566305696,54.598150033144236
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Blake Lively,Ben Affleck /film/director/film The Town,58,0.5040598215512456,1.545538935590104e+25
Ben Affleck /film/actor/film./film/performance/film Smokin' Aces,Ben Affleck /film/director/film The Town,4,0.5040911715113986,54.598150033144236
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Pete Postlethwaite,Ben Affleck /film/director/film The Town,58,0.5041321767338787,1.545538935590104e+25
Blake Lively /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,Ben Affleck /film/director/film The Town,35,0.5041398056063632,1586013452313430.8
Titus Welliver /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,Ben Affleck /film/director/film The Town,42,0.504807562485307,1.739274941520501e+18
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Rebecca Hall,Ben Affleck /film/director/film The Town,58,0.5052458507121452,1.545538935590104e+25
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Jon Hamm,Ben Affleck /film/director/film The Town,58,0.5059675720736999,1.545538935590104e+25
Jeremy Renner /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,Ben Affleck /film/director/film The Town,48,0.5065349195337825,7.016735912097631e+20
Ben Affleck /people/person/profession television producer,Ben Affleck /film/director/film The Town,6,0.5068355116069857,403.4287934927351
The Town /film/film/written_by Ben Affleck,Ben Affleck /film/director/film The Town,47,0.5209427064274927,2.5813128861900675e+20
The Town /award/award_winning_work/awards_won./award/award_honor/award_winner Ben Affleck,Ben Affleck /film/director/film The Town,47,0.5222719056819145,2.5813128861900675e+20
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/nominated_for The Town,Ben Affleck /film/director/film The Town,44,0.5273029740630429,1.2851600114359308e+19
Ben Affleck /film/director/film Gone Baby Gone,Ben Affleck /film/director/film The Town,4,1.507000465678318,54.598150033144236
Chris Messina /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,Ben Affleck /film/director/film Argo,40,0.5009634482857414,2.3538526683702e+17
Ben Affleck /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant Krista Allen,Ben Affleck /film/director/film Argo,61,0.5010670407308888,3.10429793570192e+26
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Chris Messina,Ben Affleck /film/director/film Argo,1,0.5011571625077034,2.718281828459045
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Clea DuVall,Ben Affleck /film/director/film Argo,58,0.5012196278224699,1.545538935590104e+25
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Alan Arkin,Ben Affleck /film/director/film Argo,58,0.5013191669373347,1.545538935590104e+25
Kyle Chandler /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,Ben Affleck /film/director/film Argo,48,0.5015664049401745,7.016735912097631e+20
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Bryan Cranston,Ben Affleck /film/director/film Argo,58,0.5016696391034812,1.545538935590104e+25
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Rory Cochrane,Ben Affleck /film/director/film Argo,58,0.5020265468251752,1.545538935590104e+25
Clea DuVall /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,Ben Affleck /film/director/film Argo,36,0.5020320303621679,4311231547115195.0
