,budget_degrees,budget_relevance,budget_costs,claim
Imelda Staunton /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,69,0.4999493360521143,69,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend Barack Obama,13,0.5000336170196027,13,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
The Town /award/award_winning_work/awards_won./award/award_honor/award_winner Ben Affleck,47,0.5001478195147363,47,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Liv Tyler,4,0.5003732442162541,4,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/nominated_for Gigli,129,0.50039029113472,129,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Famke Janssen /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant Ben Affleck,28,0.5007458919714111,28,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /film/director/film Gone Baby Gone,53,0.501105545149648,53,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Daredevil /award/award_winning_work/awards_won./award/award_honor/award_winner Ben Affleck,45,0.5011178236457736,45,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Grant Heslov,4,0.5017517733423171,4,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Gigli /award/award_winning_work/awards_won./award/award_honor/award_winner Ben Affleck,41,0.5018889814149988,41,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/nominated_for Daredevil,129,0.5028072300624193,129,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Golden Raspberry Award for Worst Actor /award/award_category/winners./award/award_honor/award_winner Ben Affleck,71,0.5035361654063192,71,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /people/person/profession television producer,47,0.5040611327669504,47,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Kate Beckinsale /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,71,0.5060841418248581,71,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Golden Raspberry Award for Worst Screen Couple/Ensemble /award/award_category/winners./award/award_honor/award_winner Ben Affleck,60,0.5067191847175522,60,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
70th Academy Awards /award/award_ceremony/awards_presented./award/award_honor/award_winner Ben Affleck,42,0.5067725807578903,42,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/nominated_for Jersey Girl,129,0.507033480147977,129,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Kate Beckinsale,4,0.5074614707393268,4,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award Golden Raspberry Award for Worst Screen Couple/Ensemble,3,0.516974479945635,3,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/nominated_for Pearl Harbor,129,0.5378303956704948,129,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love,142,1.5020153413350235,142,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /film/actor/film./film/performance/film Gigli,142,1.5093760227010313,142,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
