,budget_degrees,budget_relevance,budget_costs,claim
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Jennifer Garner,1,0.5007890456325299,1,Ben Affleck /film/director/film The Town
Ben Affleck /film/actor/film./film/performance/film Dogma,4,0.5009993301436453,4,Ben Affleck /film/director/film The Town
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Liv Tyler,1,0.5015741534675698,1,Ben Affleck /film/director/film The Town
Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love,4,0.5018885045846448,4,Ben Affleck /film/director/film The Town
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Grant Heslov,58,0.5019488235968685,58,Ben Affleck /film/director/film The Town
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Grant Heslov,1,0.5019909038228988,1,Ben Affleck /film/director/film The Town
Ben Affleck /base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency United States dollar,36,0.502168880210597,36,Ben Affleck /film/director/film The Town
Ben Affleck /film/actor/film./film/performance/film Gigli,4,0.5029297731780445,4,Ben Affleck /film/director/film The Town
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Blake Lively,58,0.5040653048165485,58,Ben Affleck /film/director/film The Town
Blake Lively /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,35,0.5041249054630009,35,Ben Affleck /film/director/film The Town
Ben Affleck /film/actor/film./film/performance/film Smokin' Aces,4,0.5041361103714939,4,Ben Affleck /film/director/film The Town
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Pete Postlethwaite,58,0.5041606657947109,58,Ben Affleck /film/director/film The Town
Titus Welliver /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,42,0.5048016025711953,42,Ben Affleck /film/director/film The Town
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Rebecca Hall,58,0.5052328583263491,58,Ben Affleck /film/director/film The Town
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Jon Hamm,58,0.5059641154964692,58,Ben Affleck /film/director/film The Town
Jeremy Renner /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,48,0.5065107241664903,48,Ben Affleck /film/director/film The Town
Ben Affleck /people/person/profession television producer,6,0.5068413517695284,6,Ben Affleck /film/director/film The Town
The Town /film/film/written_by Ben Affleck,47,0.5209360424153537,47,Ben Affleck /film/director/film The Town
The Town /award/award_winning_work/awards_won./award/award_honor/award_winner Ben Affleck,47,0.5222484679991166,47,Ben Affleck /film/director/film The Town
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/nominated_for The Town,44,0.5272799163617733,44,Ben Affleck /film/director/film The Town
