,budget_degrees,budget_relevance,budget_costs,claim
Mark Wahlberg /award/award_winner/awards_won./award/award_honor/award_winner George Clooney,75,0.5007973902617966,75,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
Argo /award/award_winning_work/awards_won./award/award_honor/award_winner George Clooney,57,0.5009384144254907,57,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
George Clooney /base/popstra/celebrity/dated./base/popstra/dated/participant Julia Roberts,2,0.5015349339904435,2,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
George Clooney /base/popstra/celebrity/friendship./base/popstra/friendship/participant Guy Ritchie,2,0.5024025255311009,2,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
Nicole Kidman /base/popstra/celebrity/friendship./base/popstra/friendship/participant George Clooney,14,0.5024987251164847,14,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
The Informant! /film/film/executive_produced_by George Clooney,32,0.504036934868147,32,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
Bernie Mac /award/award_nominee/award_nominations./award/award_nomination/award_nominee George Clooney,34,0.5059349133557632,34,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
George Clooney /award/award_nominee/award_nominations./award/award_nomination/award_nominee Bernie Mac,67,0.5060297903659798,67,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
George Clooney /award/award_nominee/award_nominations./award/award_nomination/award_nominee Casey Affleck,67,0.5077925570767092,67,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
Elliott Gould /award/award_nominee/award_nominations./award/award_nomination/award_nominee George Clooney,36,0.5079664402344956,36,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
George Clooney /award/award_nominee/award_nominations./award/award_nomination/award_nominee Elliott Gould,67,0.5079932554927329,67,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
George Clooney /award/award_nominee/award_nominations./award/award_nomination/award_nominee Carl Reiner,67,0.5082786861382188,67,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
George Clooney /award/award_nominee/award_nominations./award/award_nomination/nominated_for Ocean's Thirteen,2,0.5084095414844317,2,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
George Clooney /award/award_nominee/award_nominations./award/award_nomination/award_nominee Julia Roberts,67,0.5086183355995658,67,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
