,budget_degrees,budget_relevance,budget_costs,claim
Steven Spielberg /tv/tv_producer/programs_produced./tv/tv_producer_term/program Tiny Toon Adventures,55,0.49903285624005633,55,Steven Spielberg /film/director/film Amistad
War Horse /film/film/produced_by Steven Spielberg,52,0.4991432436745147,52,Steven Spielberg /film/director/film Amistad
Steven Spielberg /tv/tv_producer/programs_produced./tv/tv_producer_term/program Freakazoid!,55,0.4992433792167506,55,Steven Spielberg /film/director/film Amistad
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/award_nominee Peter Jackson,3,0.4993450645377795,3,Steven Spielberg /film/director/film Amistad
Tom Ruegger /award/award_winner/awards_won./award/award_honor/award_winner Steven Spielberg,44,0.4997524023258415,44,Steven Spielberg /film/director/film Amistad
Poltergeist /film/film/produced_by Steven Spielberg,4,0.49997973442078747,4,Steven Spielberg /film/director/film Amistad
Kathleen Kennedy /award/award_nominee/award_nominations./award/award_nomination/award_nominee Steven Spielberg,73,0.500007271766662,73,Steven Spielberg /film/director/film Amistad
Jurassic Park /award/award_winning_work/awards_won./award/award_honor/award_winner Steven Spielberg,14,0.5000088214874259,14,Steven Spielberg /film/director/film Amistad
Steven Spielberg /award/award_winner/awards_won./award/award_honor/award_winner Gregory Peck,2,0.500053048133651,2,Steven Spielberg /film/director/film Amistad
Steven Spielberg /tv/tv_producer/programs_produced./tv/tv_producer_term/program Band of Brothers,55,0.5000689029689243,55,Steven Spielberg /film/director/film Amistad
Steven Spielberg /tv/tv_producer/programs_produced./tv/tv_producer_term/program Animaniacs,55,0.5001107454281817,55,Steven Spielberg /film/director/film Amistad
A.I. Artificial Intelligence /award/award_winning_work/awards_won./award/award_honor/award_winner Steven Spielberg,44,0.50077903207683,44,Steven Spielberg /film/director/film Amistad
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/award BAFTA Academy Fellowship Award,109,0.5007965557988899,109,Steven Spielberg /film/director/film Amistad
Steven Spielberg /base/popstra/celebrity/friendship./base/popstra/friendship/participant David Geffen,38,0.5010472520772862,38,Steven Spielberg /film/director/film Amistad
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/nominated_for War Horse,22,0.5012385819849693,22,Steven Spielberg /film/director/film Amistad
Steve Golin /award/award_nominee/award_nominations./award/award_nomination/award_nominee Steven Spielberg,32,0.501295444450891,32,Steven Spielberg /film/director/film Amistad
A.I. Artificial Intelligence /film/film/written_by Steven Spielberg,44,0.5016008560792395,44,Steven Spielberg /film/director/film Amistad
Amistad /award/award_winning_work/awards_won./award/award_honor/award_winner Steven Spielberg,53,0.5316596282690352,53,Steven Spielberg /film/director/film Amistad
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/nominated_for Amistad,22,0.532028034293259,22,Steven Spielberg /film/director/film Amistad
Mark Gordon /award/award_winner/awards_won./award/award_honor/award_winner Steven Spielberg,50,0.5010626300071803,50,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /award/award_winner/awards_won./award/award_honor/award_winner Mark Gordon,2,0.5013273923207001,2,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/nominated_for Close Encounters of the Third Kind,22,0.5017834826170184,22,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /award/award_winner/awards_won./award/award_honor/award_winner Ian Bryce,2,0.502687547549915,2,Steven Spielberg /film/director/film Saving Private Ryan
Close Encounters of the Third Kind /film/film/written_by Steven Spielberg,46,0.5028328592443614,46,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/nominated_for The Departed,22,0.5028969917364364,22,Steven Spielberg /film/director/film Saving Private Ryan
Academy Award for Best Picture /award/award_category/winners./award/award_honor/award_winner Steven Spielberg,104,0.5033741677194342,104,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/award Academy Award for Best Picture,109,0.5034034918575402,109,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/award BAFTA Award for Best Direction,109,0.5037669422775622,109,Steven Spielberg /film/director/film Saving Private Ryan
New York Film Critics Circle Award for Best Film /award/award_category/winners./award/award_honor/award_winner Steven Spielberg,64,0.5038991376094887,64,Steven Spielberg /film/director/film Saving Private Ryan
BAFTA Award for Best Direction /award/award_category/winners./award/award_honor/award_winner Steven Spielberg,83,0.5039008064380062,83,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /people/person/profession screenwriter,18,0.5039848437608834,18,Steven Spielberg /film/director/film Saving Private Ryan
71st Academy Awards /award/award_ceremony/awards_presented./award/award_honor/award_winner Steven Spielberg,39,0.5052670676204994,39,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/award BAFTA Award for Best Film,109,0.5055086767876049,109,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/award_nominee Tom Hanks,3,0.5074639735767288,3,Steven Spielberg /film/director/film Saving Private Ryan
