,budget_degrees,budget_relevance,budget_costs,claim
A.I. Artificial Intelligence /film/film/written_by Steven Spielberg,44,0.5007528060946751,44,Steven Spielberg /film/director/film The Adventures of Tintin
War Horse /film/film/produced_by Steven Spielberg,52,0.5008269540875925,52,Steven Spielberg /film/director/film The Adventures of Tintin
The Color Purple /film/film/produced_by Steven Spielberg,39,0.5009627330326577,39,Steven Spielberg /film/director/film The Adventures of Tintin
Steven Spielberg /tv/tv_producer/programs_produced./tv/tv_producer_term/program Animaniacs,44,0.5012110448043327,44,Steven Spielberg /film/director/film The Adventures of Tintin
Peter Jackson /award/award_nominee/award_nominations./award/award_nomination/award_nominee Steven Spielberg,71,0.5014539916061349,71,Steven Spielberg /film/director/film The Adventures of Tintin
Paul Dini /award/award_winner/awards_won./award/award_honor/award_winner Steven Spielberg,48,0.5014975026177518,48,Steven Spielberg /film/director/film The Adventures of Tintin
Poltergeist /film/film/produced_by Steven Spielberg,4,0.5020098577965512,4,Steven Spielberg /film/director/film The Adventures of Tintin
Back to the Future Part II /film/film/executive_produced_by Steven Spielberg,9,0.5023795186643534,9,Steven Spielberg /film/director/film The Adventures of Tintin
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/nominated_for The Color Purple,176,0.5024392411315328,176,Steven Spielberg /film/director/film The Adventures of Tintin
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/award_nominee Peter Jackson,60,0.5028601572868916,60,Steven Spielberg /film/director/film The Adventures of Tintin
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/award_nominee Frank Marshall,60,0.5029456274662392,60,Steven Spielberg /film/director/film The Adventures of Tintin
Kathleen Kennedy /award/award_nominee/award_nominations./award/award_nomination/award_nominee Steven Spielberg,69,0.5030704350744244,69,Steven Spielberg /film/director/film The Adventures of Tintin
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/award Producers Guild of America Award for Best Theatrical Motion Picture,46,0.5036577525883007,46,Steven Spielberg /film/director/film The Adventures of Tintin
Peter Jackson /award/award_winner/awards_won./award/award_honor/award_winner Steven Spielberg,71,0.5052451355351296,71,Steven Spielberg /film/director/film The Adventures of Tintin
Kathleen Kennedy /award/award_winner/awards_won./award/award_honor/award_winner Steven Spielberg,69,0.5063825954842829,69,Steven Spielberg /film/director/film The Adventures of Tintin
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/award BAFTA Award for Best Animated Film,46,0.5093496866860675,46,Steven Spielberg /film/director/film The Adventures of Tintin
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/award Golden Globe Award for Best Animated Feature Film,46,0.51021791278782,46,Steven Spielberg /film/director/film The Adventures of Tintin
Steven Spielberg /film/director/film Jaws,51,1.4965686144718413,51,Steven Spielberg /film/director/film The Adventures of Tintin
The Adventures of Tintin /film/film/produced_by Steven Spielberg,48,1.5366962553497996,48,Steven Spielberg /film/director/film The Adventures of Tintin
Steven Spielberg /award/award_winner/awards_won./award/award_honor/award_winner Mark Gordon,49,0.500987886097042,49,Steven Spielberg /film/director/film Saving Private Ryan
Mark Gordon /award/award_nominee/award_nominations./award/award_nomination/award_nominee Steven Spielberg,48,0.5010026679903746,48,Steven Spielberg /film/director/film Saving Private Ryan
Mark Gordon /award/award_winner/awards_won./award/award_honor/award_winner Steven Spielberg,48,0.5014022551965925,48,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/award BAFTA Award for Best Direction,46,0.5016179028310305,46,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/nominated_for Close Encounters of the Third Kind,176,0.5017617867990204,176,Steven Spielberg /film/director/film Saving Private Ryan
BAFTA Award for Best Direction /award/award_category/winners./award/award_honor/award_winner Steven Spielberg,45,0.5020700574856184,45,Steven Spielberg /film/director/film Saving Private Ryan
Academy Award for Best Picture /award/award_category/winners./award/award_honor/award_winner Steven Spielberg,102,0.5021998740343104,102,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/nominated_for The Departed,176,0.5023760616731399,176,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/award Academy Award for Best Picture,46,0.5028367930244614,46,Steven Spielberg /film/director/film Saving Private Ryan
56th Golden Globe Awards /award/award_ceremony/awards_presented./award/award_honor/award_winner Steven Spielberg,35,0.5030556536772726,35,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /award/award_winner/awards_won./award/award_honor/award_winner Ian Bryce,49,0.5042368351588947,49,Steven Spielberg /film/director/film Saving Private Ryan
66th Academy Awards /award/award_ceremony/awards_presented./award/award_honor/award_winner Steven Spielberg,36,0.5046234005164209,36,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/award BAFTA Award for Best Film,46,0.5052403676878099,46,Steven Spielberg /film/director/film Saving Private Ryan
71st Academy Awards /award/award_ceremony/awards_presented./award/award_honor/award_winner Steven Spielberg,39,0.5053089054009777,39,Steven Spielberg /film/director/film Saving Private Ryan
Tom Hanks /award/award_nominee/award_nominations./award/award_nomination/award_nominee Steven Spielberg,81,0.5053427569980299,81,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/award_nominee Tom Hanks,60,0.5054936582353592,60,Steven Spielberg /film/director/film Saving Private Ryan
Tom Hanks /award/award_winner/awards_won./award/award_honor/award_winner Steven Spielberg,81,0.5071996242315825,81,Steven Spielberg /film/director/film Saving Private Ryan
Saving Private Ryan /award/award_winning_work/awards_won./award/award_honor/award_winner Steven Spielberg,108,0.5267461101348268,108,Steven Spielberg /film/director/film Saving Private Ryan
Steven Spielberg /award/award_nominee/award_nominations./award/award_nomination/nominated_for Saving Private Ryan,176,0.5283924941988074,176,Steven Spielberg /film/director/film Saving Private Ryan
