,claim,budget_degrees,budget_relevance,budget_costs
friedrich_hayekinfluencesniall_ferguson,friedrich_hayekiscitizenofunited_kingdom,9,0.49675564550946083,9
friedrich_hayekinfluenceshenry_hazlitt,friedrich_hayekiscitizenofunited_kingdom,9,0.4988198302251097,9
friedrich_hayekinfluencesjohn_hicks,friedrich_hayekiscitizenofunited_kingdom,9,0.4988346120956879,9
friedrich_hayekinfluencesdavid_d._friedman,friedrich_hayekiscitizenofunited_kingdom,9,0.5005725619674437,9
friedrich_hayekinfluenceselinor_ostrom,friedrich_hayekiscitizenofunited_kingdom,9,0.5012639734046163,9
edmund_burkeinfluencesfriedrich_hayek,friedrich_hayekiscitizenofunited_kingdom,18,0.5024226714319738,18
john_lockeinfluencesfriedrich_hayek,friedrich_hayekiscitizenofunited_kingdom,43,0.5037620549737472,43
adam_smithinfluencesfriedrich_hayek,friedrich_hayekiscitizenofunited_kingdom,52,0.5045436562037513,52
friedrich_hayekplaysforgrays_athletic_f.c.,friedrich_hayekiscitizenofunited_kingdom,15,0.5050411900249884,15
john_stuart_millinfluencesfriedrich_hayek,friedrich_hayekiscitizenofunited_kingdom,42,0.5067450484438083,42
friedrich_hayekplaysforbillericay_town_f.c.,friedrich_hayekiscitizenofunited_kingdom,15,0.5091706957508515,15
friedrich_hayekinfluencespeter_boettke,friedrich_hayekiscitizenofunited_kingdom,9,0.5108788723133361,9
friedrich_hayekinfluencessteve_hanke,friedrich_hayekiscitizenofunited_kingdom,9,0.5135669776443409,9
friedrich_hayekhaswonprizepresidential_medal_of_freedom,friedrich_hayekiscitizenofunited_kingdom,9,0.5179916394213774,9
friedrich_hayekinfluenceshannes_hólmsteinn_gissurarson,friedrich_hayekiscitizenofaustria,9,0.49690238624161237,9
friedrich_hayekinfluencesjames_m._buchanan,friedrich_hayekiscitizenofaustria,9,0.4975292883747337,9
friedrich_von_wieserinfluencesfriedrich_hayek,friedrich_hayekiscitizenofaustria,12,0.4981790861523807,12
friedrich_hayekinfluencesludwig_erhard,friedrich_hayekiscitizenofaustria,9,0.49862778531312113,9
friedrich_hayekinfluenceskevin_desouza,friedrich_hayekiscitizenofaustria,9,0.5002765655235524,9
friedrich_hayekinfluenceskonrad_lorenz,friedrich_hayekiscitizenofaustria,9,0.5016909773253164,9
ludwig_von_misesinfluencesfriedrich_hayek,friedrich_hayekiscitizenofaustria,27,0.5032646192111735,27
friedrich_hayekdiedinfreiburg,friedrich_hayekiscitizenofaustria,1,0.5046304332622144,1
ernst_machinfluencesfriedrich_hayek,friedrich_hayekiscitizenofaustria,16,0.5058063042650516,16
carl_mengerinfluencesfriedrich_hayek,friedrich_hayekiscitizenofaustria,18,0.509665953728152,18
friedrich_hayekinfluencespeter_g._klein,friedrich_hayekiscitizenofaustria,9,0.5174784938460963,9
friedrich_hayekhaswonprizepour_le_mérite,friedrich_hayekiscitizenofaustria,9,0.5460985518169572,9
friedrich_hayekwasborninvienna,friedrich_hayekiscitizenofaustria,1,0.5976806978808336,1
friedrich_hayekgraduatedfromuniversity_of_vienna,friedrich_hayekiscitizenofaustria,2,0.6002046072071304,2
tajikistanhasneighborchina,chinaexportswordnet_fabric_103309808,50,0.5014743762198387,50
egyptdealswithchina,chinaexportswordnet_fabric_103309808,93,0.5015101386881379,93
walesdealswithchina,chinaexportswordnet_fabric_103309808,69,0.5016260089774182,69
qatardealswithchina,chinaexportswordnet_fabric_103309808,30,0.50189374971835,30
syriadealswithchina,chinaexportswordnet_fabric_103309808,97,0.5020165334085402,97
burmahasneighborchina,chinaexportswordnet_fabric_103309808,71,0.5020737529101386,71
tajikistandealswithchina,chinaexportswordnet_fabric_103309808,50,0.5021376479559948,50
chinahasneighborburma,chinaexportswordnet_fabric_103309808,29,0.5021507607366903,29
